City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
376,Road Town,VG,80.64,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
389,Kavaratti,IN,85.55,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
392,Grand Gaube,MU,77.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
415,Katobu,ID,75.58,broken clouds,-4.9408,122.5276,La Ode Husein
423,Artigas,UY,78.19,overcast clouds,-30.4,-56.4667,Hotel Casino San Eugenio del Cuareim
427,Sola,VU,79.47,broken clouds,-13.8833,167.55,Leumerus Bungalows
432,Tual,ID,83.61,broken clouds,-5.6667,132.75,Grand Vilia Hotel
436,Itoman,JP,77.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
441,Sao Jose Da Coroa Grande,BR,80.92,light rain,-8.8978,-35.1478,Crôa Mares Hotel
442,Bambous Virieux,MU,77.25,broken clouds,-20.3428,57.7575,Casa Tia Villa
443,Pemba,MZ,86.7,few clouds,-12.974,40.5178,Guesthouse Samotina
446,Kalmunai,LK,82.76,broken clouds,7.4167,81.8167,VS Villa
448,Pedernales,DO,81.73,overcast clouds,18.0384,-71.744,Hotel Costa Marina
459,Miramar,US,83.01,broken clouds,25.9873,-80.2323,Stadium Hotel
468,Najran,SA,81.25,light rain,17.4924,44.1277,محمد هادي ال فطيح
472,Hobyo,SO,84.51,few clouds,5.3505,48.5268,Iftin hotel hobyo
474,Pompeia,BR,81.23,clear sky,-22.1086,-50.1717,Hotel Pousada Vale do Sol
478,Myitkyina,MM,77.04,clear sky,25.3833,97.4,Shwe Phyu Hotel
480,Boa Vista,BR,87.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
484,Biak,ID,76.96,overcast clouds,-0.9131,122.8766,Penginapan Kim
486,Puerto El Triunfo,SV,85.84,clear sky,13.2833,-88.55,Hotel Jardin
491,Camocim,BR,80.82,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
494,Bucerias,MX,77.86,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
495,Ko Samui,TH,85.91,broken clouds,9.5357,99.9357,The Passage
496,Labuhan,ID,79.84,overcast clouds,-6.8844,112.2051,DoubleFAG
