City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Airai,TL,-8.9266,125.4092,58.53,79,100,1.23,overcast clouds
274,Minab,IR,27.1467,57.0801,93.52,27,10,4.61,clear sky
275,Mvuma,ZW,-19.2792,30.5283,69.64,63,15,5.66,few clouds
276,Lufilufi,WS,-13.8745,-171.5986,73.18,74,64,13.4,light rain
277,Finote Selam,ET,10.7,37.2667,74.44,39,89,3.83,overcast clouds
278,Tura,IN,25.5198,90.2201,76.77,48,0,4.94,clear sky
279,Shimoda,JP,34.6667,138.95,64.11,89,92,1.99,overcast clouds
280,Kemin,KG,42.7846,75.6892,47.88,84,100,2.71,overcast clouds
281,Yuzhnyy,RU,53.2542,83.6936,44.98,31,0,6.71,clear sky
282,Garowe,SO,8.4054,48.4845,91.45,27,68,9.6,broken clouds
283,Caravelas,BR,-17.7125,-39.2481,84.34,61,7,5.97,clear sky
284,Ancud,CL,-41.8697,-73.8203,50.23,91,100,27.56,moderate rain
285,Kupang,ID,-10.1667,123.5833,76.48,79,41,5.93,scattered clouds
286,Pitimbu,BR,-7.4706,-34.8086,86.59,74,100,15.17,overcast clouds
287,Thames,NZ,-37.1333,175.5333,52.05,93,3,2.89,clear sky
288,Champerico,GT,14.3,-91.9167,81.14,69,76,6.62,broken clouds
289,Victoria,HK,22.2855,114.1577,82.45,80,5,8.01,clear sky
290,Oromocto,CA,45.8351,-66.4792,47.25,73,100,11.5,overcast clouds
291,Staryy Nadym,RU,65.6118,72.6842,17.31,87,28,5.57,scattered clouds
292,Stokmarknes,NO,68.5646,14.9108,37.36,75,75,13.8,light rain
293,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,76,20,10.36,few clouds
294,Worland,US,44.0169,-107.9554,45.68,65,2,1.01,clear sky
295,Flin Flon,CA,54.7682,-101.865,12.04,44,0,8.05,clear sky
296,Pacifica,US,37.6138,-122.4869,55.72,90,0,5.01,mist
297,Ambilobe,MG,-13.2,49.05,76.98,77,50,5.53,scattered clouds
298,Sorland,NO,67.667,12.6934,37.6,66,84,25.59,broken clouds
299,Tamiami,US,25.7587,-80.3984,83.01,67,0,4.0,clear sky
300,Salalah,OM,17.0151,54.0924,82.71,65,0,5.35,clear sky
301,Mae Sai,TH,20.4335,99.8762,83.44,47,28,1.32,scattered clouds
302,Brae,GB,60.3964,-1.353,46.74,70,100,15.77,overcast clouds
303,Edea,CM,3.8,10.1333,83.95,75,100,6.82,light rain
304,Haines Junction,CA,60.7522,-137.5108,28.35,86,99,1.14,overcast clouds
305,Tchibanga,GA,-2.85,11.0333,95.14,55,75,2.3,broken clouds
306,Port Blair,IN,11.6667,92.75,84.24,74,20,1.14,thunderstorm
307,Jatibarang,ID,-6.4747,108.3153,79.21,86,96,4.52,light rain
308,Monterey,US,36.2505,-121.2516,57.6,45,80,0.6,broken clouds
309,Rudersdorf,AT,47.0404,16.1373,69.12,59,99,2.13,light rain
310,Rapina,EE,58.0981,27.4636,43.93,89,92,7.25,overcast clouds
311,Aquiraz,BR,-3.9014,-38.3911,87.89,75,79,10.51,broken clouds
312,Bambanglipuro,ID,-7.95,110.2833,79.03,86,74,3.06,broken clouds
313,Pacific Grove,US,36.6177,-121.9166,51.66,94,76,11.01,broken clouds
314,Teeli,RU,51.0333,90.2333,38.12,29,100,0.81,overcast clouds
315,De-Kastri,RU,51.4667,140.7833,21.87,95,38,3.38,scattered clouds
316,Vallenar,CL,-28.5708,-70.7581,73.06,37,0,3.62,clear sky
317,Camacha,PT,33.0833,-16.3333,60.22,88,75,4.61,broken clouds
318,Khrebtovaya,RU,56.7032,104.2494,20.79,98,70,3.78,broken clouds
319,Saskylakh,RU,71.9167,114.0833,-6.83,100,66,2.66,broken clouds
320,Knyaze-Volkonskoye,RU,48.4642,135.4567,39.54,70,100,9.71,moderate rain
321,Fairbanks,US,64.8378,-147.7164,34.61,81,100,3.44,overcast clouds
322,Vila Do Maio,CV,15.1333,-23.2167,86.79,79,5,13.73,clear sky
323,Hervey Bay,AU,-25.2986,152.8535,72.59,62,100,18.3,overcast clouds
324,Savannah Bight,HN,16.45,-85.85,80.31,77,1,12.57,clear sky
325,Bonthe,SL,7.5264,-12.505,90.59,55,83,12.71,broken clouds
326,Hami,CN,42.8,93.45,66.34,20,58,7.16,broken clouds
327,Trinidad,BO,-14.8333,-64.9,87.78,74,75,5.75,broken clouds
328,Ikom,NG,5.9667,8.7063,95.76,44,37,3.6,scattered clouds
329,Teknaf,BD,20.8624,92.3058,81.32,87,3,4.72,clear sky
330,Nara,JP,34.6851,135.8049,68.5,66,100,1.74,overcast clouds
331,Mayumba,GA,-3.432,10.6554,81.09,80,100,8.19,overcast clouds
332,Nizwa,OM,22.9333,57.5333,92.12,19,75,5.68,broken clouds
333,Morehead,US,37.2711,-87.1764,63.99,97,100,6.91,overcast clouds
334,Opuwo,NA,-18.0607,13.84,83.84,24,1,6.04,clear sky
335,Clemson,US,34.6834,-82.8374,76.42,74,40,3.44,scattered clouds
336,Oranjemund,NA,-28.55,16.4333,61.59,61,0,19.28,clear sky
337,Muli,MV,2.9167,73.5667,85.15,66,68,4.16,broken clouds
338,Narovchat,RU,53.8765,43.6946,60.89,68,48,9.08,scattered clouds
339,Rio Grande,BR,-32.035,-52.0986,68.11,71,100,11.3,moderate rain
340,Yambio,SS,4.5721,28.3955,81.28,57,99,2.35,overcast clouds
